grandchildren|внуки
granddaughter|внучка
grandfather|дедушка
grandmother|бабушка
grandparents|бабушка и дедушка
grandson|внук
half-brother|брат с одной стороны (по отцу или матери)
half-sister|сестра с одной стороны (по отцу или матери)
husband|муж
lover|любовник(-ца)
marriage|брак
mother|мать
mother-in-law|теща, свекровь
nephew|племянник
niece|племянница
parents|родители
relative|родственник
sister|сестра
son|сын
stepbrother|сводный брат
stepfather|отчим
stepmother|мачеха
stepsister|сводная сестра
twins|близнецы
uncle|дядя
wedding|свадьба
widow|вдова
widower|вдовец
wife|жена
to care|заботиться
to love|любить
to miss|скучать
to support|поддерживать
belt|ремень
blouse|блузка
boots|ботинки
bracelet|браслет
cap|кепка
chain|цепочка
cloak|плащ
clothes|одежда
coat|пальто
dress|платье
earrings|серьги
formal clothes|официальная одежда
hat|шляпа
high boots|сапоги
high heels|высокие каблуки
hoodie|худи, толстовка
jacket|пиджак
jeans|джинсы
necklace|ожерелье
pocket|карман
pyjamas|пижама
raincoat|плащ-дождевик
ring|кольцо
shirt|рубашка
shoes|туфли
shorts|шорты
skirt|юбка
slippers|тапочки
socks|носки
sportswear|спортивный костюм
suit|костюм
sweater|свитер
swimwear|купальный костюм
trainers|кроссовки
T-shirt|футболка
umbrella|зонт
underwear|нижнее белье
uniform|униформа
zip|застежка-молния
to dress up|наряжаться
to try on|примерить
to wear|носить
to zip up|застегнуть
apple|яблоко
bacon|бекон
banana|банан
beef|говядина
berries|ягоды
biscuits|печенье
breakfast|завтрак
butter|масло
carrot|морковь
cereal|хлопья
chicken|курица
coffee|кофе
corn|кукуруза
cucumber|огурец
dinner|ужин
drinks|напитки
duck|утка
aubergine|баклажан
fish|рыба
fruits|фрукты
garlic|чеснок
grapes|виноград
ham|ветчина
jam|варенье
juice|сок
lemon|лимон
lettuce|салат-латук
lunch|обед
milk|молоко
mineral water|минеральная вода
mushroom|гриб
nuts|орехи
onion|лук
pancake|блинчик
peach|персик
pepper|перец
pineapple|ананас
plum|слива
pork|свинина
potato|картофель
salmon|лосось
sandwich|сэндвич
sausage|колбаса
shrimp|креветка
snack|перекус
soda|газировка
strawberry|клубника
taste|вкус
tea|чай
toast|тост
tomato|помидор
turkey|индейка
vegetables|овощи
water|вода
watermelon|арбуз
yoghurt|йогурт
to bake|печь
to boil|кипеть, варить
to cook|готовить
to cool|охлаждать
to cut|резать
to drink|пить
to eat|есть
to fry|жарить
to heat|подогревать
to stew|тушить
to taste|пробовать
actor|актер
artist|художник
break|перерыв
career|карьера
company|компания
cook|повар
designer|дизайнер
director|директор
doctor|врач
engineer|инженер
fireman|пожарный
hamster|хомяк
horse|лошадь
kitten|котенок
mouse|мышь
parrot|попугай
pet|питомец
pig|свинья
puppy|щенок
rabbit|кролик
rat|крыса
sheep|овца
bear|медведь
camel|верблюд
crocodile|крокодил
deer|олень
elephant|слон
fox|лиса
giraffe|жираф
hippo|бегемот
kangaroo|кенгуру
lion|лев
monkey|обезьяна
panda|панда
rhino|носорог
snake|змея
tiger|тигр
wild|дикий
wolf|волк
bee|пчела
bug|жук
butterfly|бабочка
fly|муха
insect|насекомое
spider|паук
bird|птица
duck|утка
eagle|орел
owl|сова
penguin|пингвин
pigeon|голубь
raven|ворон
sparrow|воробей
swan|лебедь
to bark|лаять
to bite|кусать
to catch|ловить
to feed|кормить
to fly|летать
to hiss|шипеть
to pet|гладить
to purr|мурлыкать
to scream|кричать
bush|куст
cactus|кактус
flower|цветок
grass|трава
leaf|лист
lily|лилия
oak|дуб
pine|сосна
root|корень
rose|роза
tree|дерево
to bloom|цвести
to fruit|плодоносить
to grow|расти
to plant|сажать
to water|поливать
Christmas|Рождество
coloured lights|цветные фонарики (гирлянды)
decorations|украшения
guest|гость
holiday|праздник
New Year|Новый год
New Year's tree|новогодняя елка
present|подарок
snowman|снеговик
treat|угощение
balloon|воздушный шар
birthday|день рождения
cake|торт
candle|свеча
party|вечеринка
wish|желание
to be born|родиться
to celebrate|праздновать
to congratulate|поздравлять
to enjoy|наслаждаться
to get older|становиться старше
to have fun|развлекаться
to invite|пригласить
to like|нравиться
to make a wish|загадать желание
to prepare|готовиться
to visit|навещать
bakery|булочная, пекарня
bank|банк
bench|скамья
